account,vestingWallet,amount
0xd9d16e8a05fa950e2362319cd3efe94016cb13d5,0xdf11f3c72c6110572b1c1f4e82d64a729c1b3785,3028887897915345000000
0x2c2bec9217b9a691f67aa9f19754204bd9a56c96,0x115f2b1f21a5199eb75c02703c128988b3add709,3292269401579500000000
0x6d780a893cfd66eada11e5f16d70531fe4dfafbf,0x68a208fd5e815ce9dffcbdca80c838d88ed9442d,534784872066080000000
0xa3a941b080f66c5d3814356c131761860e25ad9f,0x5740c934550aa2a4290ffb816e0d832d22f56fd4,404166109506464500000
0xd1a0fb650b11d4dddb67502691e7a08b5c73da29,0x382c5bc3bccbc889af73258609ccbcd6e37a31fc,693109319976575000000
0x0f40915174ab51a59cf82502bda9d12eca817202,0x1046b1a99086fd1efc295db1dd71f31c14627ec4,200671650936746000000
0xd7464f6283d4be6d86e75f7ee9ae3240bbd18be0,0x7ced4f23f8454754066bb95ab09b5d92370b0b33,3067228287860255000000
0x09aee9036dd2a5836321db5a193f53429cfbaf08,0xd30d08dcbc157fefc1c91765c7836625b7d93478,53842922998485000000
0x609f0e955708bec08eca419d7366200191f3702e,0x5747fbf229a3dc5839b419d52a51148bb391c539,90173458822221000000
0x41d2f3add533465d1038bfac72855e8430f92eec,0xefc2a0fc2d318ed7f2f33e920a254ad67b672430,605474796145900000000
0xf83719280ba7f4b1e390bb1524ad42b427c80f4e,0x8e18210e0caa0d65c0692ab0ce2c8d0a61a9511e,4571906375301950000000
0xa13131208502db4b4c028ceb2f364c85ad48e4d3,0x9de83c717c6a2cc1fa116d34bf2195d895ad9ae4,140782983411924000000
0x70d628288d3b2244b9c2fe12b8c987162380c642,0x21fc819ebd5ace5e94ccacb75640cd24485bf54d,163337441748632000000
0x361d6a0a6ce25c833081daa7c31c416d4295ec5a,0x39e9252ad8e6ff8176616f95ab75d3635691bb07,88284317735951500000
0x43c632fa9c0fddb36467b672cd519561f93c2bf4,0xbb749a8d98849c986d6f29b59ca6df1e46d780db,11315652038867300000000
0x305b0b89de51a8cd33f66d198bda2c165af3d728,0xa617edade35be1f5394d392dcfb21fdf38e03dd9,1808291387218415000000
0x793684c3ecbc7a0008f141a6d9b118cdb8625dbe,0xd1372c4aab3850143e0858b8f6d4f481a6a2fb40,195701451333881000000
0x71f48de0329ae842d26402850705cc037154dec8,0x0016bf34992d6d1d96695e8ccfdf01a14488504f,1225030497056875000000
0xcff6c7eec2d3feb3988f8713cbcac4bedc77f426,0x362868dcfe689d2afbcfe3543e8e9e72c14a606b,619721315233600000000
0x58fea40d1d669c8cb19dd5c05503b98a0d368155,0x3bcc9675627ba9eb59c2de7ab2583ed3994c6559,188129652999582500000
0xa98b6dc11e73b730126d831d9c70a7d9eb201c50,0xce76e62877a2214a9abe154dab106cef31e42121,623388323966220000000
0xb1778841cbac2cf6a6b4d58d6d734b728c631186,0xa7a98314197237e196232f5e05f430636ee857ee,598594427073305000000
0x2bf40849433019d11694dcb1f3f364494d0a5cdc,0xe3813c89f1e5311f810a956a068fe5c3339a0f89,339065974337907000000
0x9825e2bc2d3ac081dbe3d02a2ea1cc015e0137db,0xc5f3a8e2abb4494410eea8f122b077f999fdcddb,3188303114203265000000
0x4a47b44cd543157f37061353a6050f3e9f2577e4,0xdf7d7d3913cb20fe89acd2ac0a651acc7b99c3d4,1274426865127550000000
0x8208f1513a27eb3586f474b3c36f05dfbeb66757,0xd1b7608aefd34990c4dd19bd5f76aafc524527c9,81144507295100500000
0x50495946033ecbc8699c526cd8a5f9c6e420c0d6,0x3c2e1389f0d9c0c73ec9a5cc5644da3ce88c09c8,4170207908667365000000
0xa18730afb886d3a6aa4202d622fc78990b9468b8,0x3e6bf790a576dd3abc3f290134022a02dc9ecfe2,129797886530600000000
0x41c895a7c2bc0707420d8c4bb4accba32f769aa5,0x5d19a65de68a4f0617df8d3782fb14d0ae0b5f65,546272901296865000000
0xd9c5fead70325025662c32b3b53321ccea6b3345,0x20101bd56ba43442293af6584bffcd5b1fd16317,58367101738581000000
0x22ea0126167063cb14be7948f118f3ca767a0deb,0x10c4b33a3c50d3641c88450852dddc0c6f6c0de2,690082644483730000000
0xf92f1bc2702f2a6bf4de8b9ee58b5db0f953ae50,0x7841d145cf375b77706069e2795cb9325aae6e6f,606969792000735000000
0xc7bae69d9b3cd4fb1bb3cf89f1073dc8ebba5f53,0x2b80881e91d0de32fa9acd601ad493a7c9d5f6d5,88655812153538500000
0xcedf424a500820e9baef5e13c7a621658cc22e74,0xe655fcace5d9e3bab9185e2134ae7e9a94b1f859,46207280974930000000
0x9251cb0b7ab2cf9e6617f76b86acb0dfc5843b5f,0x567c5b972fbdcfc6d138e8d908a024e3ead65358,162330692087676500000
0x37db4e054a5bd500ee361c48c13a2de2cc474c30,0x1ac8f9dfa08f1d397cefd716b40ca5935f830e07,162081006372265500000
0x532e9df581ac1073e6d74d23d97078c31c04da3c,0x95ff6cb4d32d22a8473335a2dd531c6fa769bc63,888516036813645000000
0x27ca21519e1af59f5ff4c5d076567f0594add3e1,0x07e50c6e69960c726e8a4dfc66e7b97a938877bf,90173458822221000000
0xd07ca0c971306997b099317f5e81a890b003fd80,0xbfde2332550aa379b8571e66abd813c33272233d,260773868227449000000
0x2bc2d445fe62335f2d095ff00a0288d05b384381,0x74a995dc335fe5ba32b64385b39bd7b3de51d8f3,2692344771223525000000
0x12d9e28b104b97e7263bed309bd6011c3554afaf,0xe97589f75b2f71581ff9c82b274719b59b66d1ba,169105287127243500000
0x57696a563b66dfa0c180747217d0edcf17a9cd51,0xd970ab9df275fdbf8a0fc8deec3052a7e8997464,1775605988922855000000
0x54db1910fd8c80385790940ab1cb7df03299f598,0x72dbd59a028cd8da5cd0b80cc58e2d124a840f17,253425543876074500000
